date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:53	44/44	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Dec%202019%2004:12:51%20GMT	https://alhudabogor.org/robots.txt		(from )
11:13:53	35301/35301	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Dec%202019%2004:12:51%20GMT	https://alhudabogor.org/	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/index.html	(from )
11:13:54	128695/128695	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2022%20Dec%202019%2004:13:55%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/website%20al%20huda/connect.facebook.net/en_US/fbevents.js	(from https://alhudabogor.org/)
11:13:54	3535/3535	---M--	200	added ('OK')	image/png	etag:%22dcf-51493facc6300%22	https://alhudabogor.org/site/theme/img/favicons/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/site/theme/img/favicons/apple-touch-icon-57x57.png	(from https://alhudabogor.org/)
11:13:54	3697/3697	---M--	200	added ('OK')	image/png	etag:%22e71-51493facc6300%22	https://alhudabogor.org/site/theme/img/favicons/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/site/theme/img/favicons/apple-touch-icon-60x60.png	(from https://alhudabogor.org/)
11:13:54	4697/4697	---M--	200	added ('OK')	image/png	etag:%221259-51493facc6300%22	https://alhudabogor.org/site/theme/img/favicons/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/site/theme/img/favicons/apple-touch-icon-72x72.png	(from https://alhudabogor.org/)
11:13:54	5146/5146	---M--	200	added ('OK')	image/png	etag:%22141a-51493faeae780%22	https://alhudabogor.org/site/theme/img/favicons/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/site/theme/img/favicons/apple-touch-icon-76x76.png	(from https://alhudabogor.org/)
11:13:54	9213/9213	---M--	200	added ('OK')	image/png	etag:%2223fd-51493faadde80%22	https://alhudabogor.org/site/theme/img/favicons/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/site/theme/img/favicons/apple-touch-icon-114x114.png	(from https://alhudabogor.org/)
11:13:55	1847/1847	---M--	200	added ('OK')	image/png	etag:%22737-51493fb096c00%22	https://alhudabogor.org/site/theme/img/favicons/favicon-32x32.png	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/site/theme/img/favicons/favicon-32x32.png	(from https://alhudabogor.org/)
11:13:55	7015/7015	---M--	200	added ('OK')	image/png	etag:%221b67-51493fb096c00%22	https://alhudabogor.org/site/theme/img/favicons/favicon-96x96.png	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/site/theme/img/favicons/favicon-96x96.png	(from https://alhudabogor.org/)
11:13:55	769/769	---M--	200	added ('OK')	image/png	etag:%22301-51493fb096c00%22	https://alhudabogor.org/site/theme/img/favicons/favicon-16x16.png	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/site/theme/img/favicons/favicon-16x16.png	(from https://alhudabogor.org/)
11:13:56	602/602	---M--	200	added ('OK')	application/json	etag:%2225a-51493fb27f080%22	https://alhudabogor.org/site/theme/img/favicons/manifest.json	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/site/theme/img/favicons/manifest.json	(from https://alhudabogor.org/)
11:13:56	7406/7406	---M--	200	added ('OK')	image/x-icon	etag:%221cee-51493fb27f080%22	https://alhudabogor.org/site/theme/img/favicons/favicon.ico	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/site/theme/img/favicons/favicon.ico	(from https://alhudabogor.org/)
11:13:56	402/402	---M--	200	added ('OK')	application/xml	etag:%22192-51493fb096c00%22	https://alhudabogor.org/site/theme/img/favicons/browserconfig.xml	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/site/theme/img/favicons/browserconfig.xml	(from https://alhudabogor.org/)
11:13:56	99922/99922	---M--	200	added ('OK')	text/css	etag:%2218652-59866835a44ad%22	https://alhudabogor.org/site/assets/aiom/css_5b4f3341f91a552d87c7423c12553925.css	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/site/assets/aiom/css_5b4f3341f91a552d87c7423c12553925.css	(from https://alhudabogor.org/)
